Loyalty#,Income,Months_Enrolled,Total_Flights,Total_Flights_With_Companions,Total_DistanceKM,Total_Points_Redeemed,Flights_Variance,Recency,Winter_Flights_Ratio,Spring_Flights_Ratio,Summer_Flights_Ratio,Autumn_Flights_Ratio,merged_labels,pca_1,pca_2,pca_3
480934,0.7015933027275183,0.6805555555555556,0.3524904214559387,0.37857142857142856,0.48485675181722715,0.24826672984493775,0.5006021423591304,0.0,0.09239130434782608,0.25,0.45108695652173914,0.20652173913043478,0,-0.2903146125862138,0.32630628688853713,0.11970056025276293
549612,0.0,0.673611111111111,0.4789272030651341,0.16428571428571428,0.38700231185650485,0.15972348486935506,0.5964107366744863,0.0,0.208,0.332,0.232,0.228,1,-0.23963633055276368,-0.3768206243710867,0.035784770368990915
429460,0.0,0.736111111111111,0.2222222222222222,0.2642857142857143,0.22794033063650213,0.10063710878600382,0.3344108512391456,0.11,0.25,0.31896551724137934,0.1724137931034483,0.25862068965517243,1,0.04955513983055759,-0.37753212532694314,-0.025875349339300746
608370,0.0,0.9305555555555556,0.36590038314176243,0.39285714285714285,0.3691294818456106,0.29994067854197776,0.44246371299993664,0.0,0.24607329842931938,0.34554973821989526,0.18848167539267016,0.2198952879581152,1,-0.27365455625414326,-0.37627988877389934,0.14191243150351457
530508,0.9785059161240637,0.7916666666666666,0.31992337164750956,0.42142857142857143,0.353077679889392,0.0,0.5786112695696267,0.0,0.2215568862275449,0.16766467065868262,0.4251497005988024,0.18562874251497005,0,-0.24963838053016707,0.603485551742217,0.07902836653979645
927943,0.0,0.8194444444444444,0.367816091954023,0.22857142857142856,0.49658174751184025,0.3966585306276872,0.6377638334284085,0.0,0.19791666666666666,0.18229166666666666,0.3385416666666667,0.28125,1,-0.3550852681941755,-0.3754319256631455,0.11418102084661602
188893,0.9328972504775908,0.611111111111111,0.40421455938697315,0.45,0.4105034610912074,0.144683750511946,0.5352570197122395,0.02,0.11848341232227488,0.3175355450236967,0.33175355450236965,0.23222748815165878,0,-0.25905760178205894,0.5566144838820216,0.08824437251998468
852392,0.9328972504775908,0.7430555555555556,0.2796934865900383,0.37857142857142856,0.33895935762575585,0.35709681151754574,0.5144831083222412,0.01,0.15753424657534246,0.6438356164383562,0.136986301369863,0.06164383561643835,0,-0.24225190710550903,0.5529167567373527,0.20676366247560768
866307,0.9328972504775908,0.625,0.41379310344827586,0.4714285714285714,0.2910748492827718,0.3953306849883653,0.6719908727895038,0.01,0.12962962962962962,0.39814814814814814,0.26851851851851855,0.2037037037037037,0,-0.3446530303072127,0.5542488203185374,0.1508615436331962
932823,0.47207969514207704,0.7569444444444444,0.4521072796934866,0.37142857142857144,0.4124896285835234,0.14059185551276332,0.47055840780883573,0.01,0.1483050847457627,0.2330508474576271,0.288135593220339,0.3305084745762712,1,-0.2487580349212004,0.0977152587726714,0.050988235030527795
144514,0.24208599633930447,0.6527777777777777,0.289272030651341,0.35714285714285715,0.36053697187054795,0.23923260439566496,0.38313684477403825,0.01,0.304635761589404,0.15894039735099338,0.36423841059602646,0.17218543046357615,1,-0.14162834149787695,-0.1353661580322152,-0.008031917421643386
611765,0.7964313219511707,0.5208333333333333,0.16475095785440613,0.15714285714285714,0.1645408430373073,0.06341702617674122,0.42359130379666615,0.0,0.26744186046511625,0.29069767441860467,0.10465116279069768,0.3372093023255814,0,0.08658314352931551,0.4183154050651994,-0.25524812976316524
988178,0.0,0.875,0.5919540229885057,0.6142857142857142,0.5335490760080319,0.27458856069246323,0.5126925270964061,0.0,0.284789644012945,0.33980582524271846,0.23624595469255663,0.13915857605177995,1,-0.4812031529317714,-0.3765328500651338,0.2830969880304662
286114,0.0,0.6180555555555556,0.2739463601532567,0.36428571428571427,0.39920101963801474,0.4758958366621303,0.48543766241997854,0.01,0.2937062937062937,0.03496503496503497,0.4825174825174825,0.1888111888111888,1,-0.24158834552499664,-0.3777395845611706,0.025948170985428398
205785,0.28147347996119265,0.6388888888888888,0.3524904214559387,0.39999999999999997,0.35486696139322993,0.235594344075476,0.521861682493876,0.0,0.22282608695652173,0.14130434782608695,0.391304347826087,0.24456521739130435,1,-0.23731411822764348,-0.09489578698961287,0.012845702871458975
735304,0.28147347996119265,0.611111111111111,0.24137931034482757,0.20714285714285713,0.3731317465603999,0.240369445959621,0.2960638904734741,0.0,0.3333333333333333,0.23809523809523808,0.24603174603174602,0.18253968253968253,1,-0.034819997977635464,-0.0967974111244525,-0.09329058192693956
438936,0.849971494583971,0.875,0.5076628352490421,0.36428571428571427,0.441898409316121,0.07401407920424764,0.7086740191417886,0.0,0.19622641509433963,0.22641509433962265,0.42641509433962266,0.1509433962264151,0,-0.4155442598799032,0.47517195846074645,0.22006851986567105
243713,0.0,0.5138888888888888,0.3544061302681992,0.2714285714285714,0.3638148988666769,0.0,0.6031676789369484,0.0,0.23783783783783785,0.3621621621621622,0.2756756756756757,0.12432432432432433,1,-0.17199919958237053,-0.37830124880101196,-0.010302564239368706
354730,0.0,0.7152777777777777,0.24712643678160917,0.34285714285714286,0.2840717705366956,0.0,0.4796063890473476,0.11,0.26356589147286824,0.06976744186046512,0.4186046511627907,0.24806201550387597,1,-0.054184420738070616,-0.37578932968024686,-0.005433683179505766
413741,0.0,0.7291666666666666,0.31417624521072796,0.39999999999999997,0.2733149490204898,0.4772604138544072,0.6409852018388643,0.05,0.1524390243902439,0.3048780487804878,0.3231707317073171,0.21951219512195122,1,-0.29403292900820654,-0.3781820284814087,0.15746863785083715
552965,0.0,0.45138888888888884,0.021072796934865898,0.04285714285714286,0.020093080504567443,0.0,0.0671071813399252,0.0,1.0,0.0,0.0,0.0,4,0.429752427016762,-0.38528492979866275,-0.5178016863334749
642313,0.0,0.673611111111111,0.318007662835249,0.41428571428571426,0.3928517094704838,0.4243228997357165,0.4327185142929582,0.03,0.25903614457831325,0.3433734939759036,0.25903614457831325,0.13855421686746988,1,-0.2289155436561816,-0.3790807716848126,0.11656664307257852
263080,0.0,0.8263888888888888,0.26053639846743293,0.25,0.23121777952192565,0.04822852902986459,0.4302465614502123,0.0,0.16176470588235295,0.45588235294117646,0.2426470588235294,0.13970588235294118,1,-0.09876563436500907,-0.3766282226347201,0.05931405066464229
109767,0.7812284334023465,0.6597222222222222,0.4022988505747126,0.42857142857142855,0.4919653974070527,0.4213807023440241,0.38277239018824855,0.0,0.28095238095238095,0.2523809523809524,0.2761904761904762,0.19047619047619047,0,-0.27212881974746805,0.40331020803531437,0.08696175701694381
217754,0.9635330712835439,0.736111111111111,0.2739463601532567,0.11428571428571428,0.33231639186297657,0.0,0.5230696956477972,0.0,0.20279720279720279,0.15384615384615385,0.5174825174825175,0.1258741258741259,0,-0.11658509802524486,0.5881433789835162,0.008457217875380285
157005,0.9119932787229574,0.625,0.47701149425287354,0.5499999999999999,0.502719159014744,0.1332804398970782,0.41685681688533954,0.01,0.17269076305220885,0.24899598393574296,0.3132530120481928,0.26506024096385544,0,-0.28552144776419375,0.5365657859735601,0.07865502974100774
557752,0.9119932787229574,0.5416666666666666,0.18007662835249041,0.22142857142857142,0.2139663978058926,0.20573342810073997,0.5308360271280979,0.0,0.6382978723404256,0.1276595744680851,0.031914893617021274,0.20212765957446807,4,-0.004996199895490605,0.5300831039792376,-0.23813843651544117
608758,0.4358628139346476,0.8958333333333333,0.3390804597701149,0.39285714285714285,0.34370135522391887,0.0,0.4419566457501427,0.0,0.22598870056497175,0.1807909604519774,0.288135593220339,0.3050847457627119,1,-0.19037444981643126,0.062188952897613836,0.024019840814539395
599341,0.31414968844080376,0.7013888888888888,0.5517241379310345,0.42142857142857143,0.6786513720964457,0.40405993854811195,0.47233314318311465,0.0,0.2534722222222222,0.16319444444444445,0.3263888888888889,0.2569444444444444,1,-0.42326050140334115,-0.061532971115417945,0.14814197731122497
333502,0.0,0.8402777777777777,0.31992337164750956,0.2714285714285714,0.28338797660585197,0.058880679386803456,0.7212174088117849,0.0,0.08982035928143713,0.18562874251497005,0.39520958083832336,0.32934131736526945,1,-0.27161119290819535,-0.3734617545276825,0.05116169586113356
201574,0.2661005591062302,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,1.1461783196667357,-0.1202261321661735,0.3389328493243306
403361,0.5237095048059132,0.5416666666666666,0.1475095785440613,0.12857142857142856,0.17569631325966414,0.0,0.38123534258731057,0.01,0.06493506493506493,0.18181818181818182,0.35064935064935066,0.4025974025974026,0,0.09948191758407732,0.14911079598733945,-0.24271651112669315
543918,0.10855062461867755,0.9513888888888888,0.5,0.7142857142857143,0.42720272056466024,0.786262766510374,0.4476611523103252,0.01,0.1417624521072797,0.210727969348659,0.3524904214559387,0.2950191570881226,1,-0.5315101710993174,-0.267237767234087,0.3237402113255535
806030,0.6007941508886688,0.4930555555555555,0.09578544061302681,0.04285714285714286,0.12092375960631983,0.08545595794971818,0.28896494897635805,0.0,0.26,0.0,0.42,0.32,0,0.19273853383701844,0.22431065564760544,-0.33977833504758026
119200,0.518428501415269,0.5763888888888888,0.2739463601532567,0.2785714285714286,0.25991560963561366,0.14905664189123422,0.5265101096532928,0.01,0.23776223776223776,0.11188811188811189,0.4405594405594406,0.2097902097902098,0,-0.11752856247648302,0.141408026830114,-0.06467900122005277
175967,0.602414458747162,0.5138888888888888,0.3544061302681992,0.35,0.27119452804210126,0.09435601323070539,0.6584743614121823,0.0,0.25405405405405407,0.21621621621621623,0.3621621621621622,0.16756756756756758,0,-0.20392244087566835,0.22417692949632273,-0.022271839728536302
