Loyalty#,Winter_Flights_Ratio,Spring_Flights_Ratio,Summer_Flights_Ratio,Autumn_Flights_Ratio,Flights_Variance,Total_Flights_With_Companions
480934,0.09239130434782608,0.25,0.45108695652173914,0.20652173913043478,0.5006021423591303,0.37857142857142856
549612,0.208,0.332,0.232,0.228,0.5964107366744863,0.16428571428571428
429460,0.25,0.31896551724137934,0.1724137931034483,0.25862068965517243,0.3344108512391456,0.2642857142857143
608370,0.24607329842931938,0.34554973821989526,0.18848167539267016,0.2198952879581152,0.4424637129999367,0.39285714285714285
530508,0.2215568862275449,0.16766467065868262,0.4251497005988024,0.18562874251497005,0.5786112695696267,0.42142857142857143
927943,0.19791666666666666,0.18229166666666666,0.3385416666666667,0.28125,0.6377638334284085,0.22857142857142856
188893,0.11848341232227488,0.3175355450236967,0.33175355450236965,0.23222748815165878,0.5352570197122395,0.45
852392,0.15753424657534246,0.6438356164383562,0.136986301369863,0.06164383561643835,0.5144831083222412,0.37857142857142856
866307,0.12962962962962962,0.39814814814814814,0.26851851851851855,0.2037037037037037,0.6719908727895039,0.4714285714285714
932823,0.1483050847457627,0.2330508474576271,0.288135593220339,0.3305084745762712,0.47055840780883573,0.37142857142857144
144514,0.304635761589404,0.15894039735099338,0.36423841059602646,0.17218543046357615,0.38313684477403814,0.35714285714285715
611765,0.26744186046511625,0.29069767441860467,0.10465116279069768,0.3372093023255814,0.42359130379666615,0.15714285714285714
988178,0.284789644012945,0.33980582524271846,0.23624595469255663,0.13915857605177995,0.5126925270964061,0.6142857142857142
286114,0.2937062937062937,0.03496503496503497,0.4825174825174825,0.1888111888111888,0.48543766241997854,0.36428571428571427
205785,0.22282608695652173,0.14130434782608695,0.391304347826087,0.24456521739130435,0.521861682493876,0.39999999999999997
735304,0.3333333333333333,0.23809523809523808,0.24603174603174602,0.18253968253968253,0.2960638904734741,0.20714285714285713
438936,0.19622641509433963,0.22641509433962265,0.42641509433962266,0.1509433962264151,0.7086740191417886,0.36428571428571427
243713,0.23783783783783785,0.3621621621621622,0.2756756756756757,0.12432432432432433,0.6031676789369484,0.2714285714285714
354730,0.26356589147286824,0.06976744186046512,0.4186046511627907,0.24806201550387597,0.4796063890473476,0.34285714285714286
413741,0.1524390243902439,0.3048780487804878,0.3231707317073171,0.21951219512195122,0.6409852018388643,0.39999999999999997
552965,1.0,0.0,0.0,0.0,0.0671071813399252,0.04285714285714286
642313,0.25903614457831325,0.3433734939759036,0.25903614457831325,0.13855421686746988,0.43271851429295816,0.41428571428571426
263080,0.16176470588235295,0.45588235294117646,0.2426470588235294,0.13970588235294118,0.4302465614502123,0.25
109767,0.28095238095238095,0.2523809523809524,0.2761904761904762,0.19047619047619047,0.38277239018824866,0.42857142857142855
217754,0.20279720279720279,0.15384615384615385,0.5174825174825175,0.1258741258741259,0.5230696956477972,0.11428571428571428
157005,0.17269076305220885,0.24899598393574296,0.3132530120481928,0.26506024096385544,0.41685681688533954,0.5499999999999999
557752,0.6382978723404256,0.1276595744680851,0.031914893617021274,0.20212765957446807,0.5308360271280979,0.22142857142857142
608758,0.22598870056497175,0.1807909604519774,0.288135593220339,0.3050847457627119,0.4419566457501427,0.39285714285714285
599341,0.2534722222222222,0.16319444444444445,0.3263888888888889,0.2569444444444444,0.47233314318311453,0.42142857142857143
333502,0.08982035928143713,0.18562874251497005,0.39520958083832336,0.32934131736526945,0.7212174088117848,0.2714285714285714
201574,0.0,0.0,0.0,0.0,0.0,0.0
403361,0.06493506493506493,0.18181818181818182,0.35064935064935066,0.4025974025974026,0.38123534258731057,0.12857142857142856
543918,0.1417624521072797,0.210727969348659,0.3524904214559387,0.2950191570881226,0.4476611523103252,0.7142857142857143
806030,0.26,0.0,0.42,0.32,0.28896494897635805,0.04285714285714286
119200,0.23776223776223776,0.11188811188811189,0.4405594405594406,0.2097902097902098,0.5265101096532928,0.2785714285714286
175967,0.25405405405405407,0.21621621621621623,0.3621621621621622,0.16756756756756758,0.6584743614121824,0.35
238119,0.20253164556962025,0.23628691983122363,0.33755274261603374,0.22362869198312235,0.7420136908157444,0.37142857142857144
730388,0.14832535885167464,0.22488038277511962,0.37799043062200954,0.24880382775119617,0.5302506627294387,0.3857142857142857
834891,0.0,0.0,0.0,0.0,0.0,0.0
127400,0.2846715328467153,0.0948905109489051,0.32116788321167883,0.29927007299270075,0.48239525892121443,0.21428571428571427
324557,0.12025316455696203,0.25316455696202533,0.34177215189873417,0.2848101265822785,0.33346010014578187,0.2571428571428571
